Year,State,colonies,Maximum_colonies1,Lost_colonies,Percent_lost2,Varroa_mites,Other_parasites,Diseases,Pestticides,Other3,Unknown,POPULATION
2015,AL,8000,8000,610,8,3,6,0,0,3,2,4852347
2015,AZ,36000,39000,12000,31,50,2,1,4,1,16,6829676
2015,AR,23000,27000,2400,9,38,10,0,8,9,1,2978048
2015,CA,750000,1260000,149000,12,37,13,6,12,11,7,38918045
2015,CO,24000,24000,2500,10,48,24,21,20,8,2,5450623
2015,CT,3200,3200,210,7,11,2,1,1,3,2,3587122
2015,FL,220000,260000,37000,14,27,18,3,7,3,4,20209042
2015,GA,110000,121000,18000,15,44,14,5,5,4,1,10178447
2015,HI,13000,13000,690,5,31,34,0,0,0,0,1422052
2015,ID,121000,145000,22000,15,39,1,4,4,3,5,1651059
2015,IL,14000,14000,690,5,9,3,0,1,1,3,12858913
2015,IN,11500,11500,1100,10,15,1,6,0,1,4,6608422
2015,IA,35000,35000,4300,12,53,1,1,6,25,1,3120960
2015,KS,8500,8500,3400,40,45,25,0,25,34,19,2909011
2015,KY,8500,8500,1100,13,22,15,0,10,7,2,4425976
2015,LA,55000,71000,4900,7,11,1,0,1,2,0,4664628
2015,ME,4700,4700,60,1,18,0,0,0,0,0,1328262
2015,MD,7500,9500,730,8,6,2,0,0,0,4,5985562
2015,MA,4500,4500,260,6,31,2,6,2,3,1,6794228
2015,MI,67000,73000,9000,12,30,4,0,4,3,4,9931715
2015,MN,104000,105000,10000,10,44,9,8,25,4,9,5482032
2015,MS,31000,34000,1500,4,11,3,0,0,1,1,2988471
2015,MO,13500,13500,690,5,3,6,3,0,1,2,6071732
2015,MT,116000,123000,10000,8,36,20,14,11,3,14,1030475
2015,NE,72000,73000,7000,10,16,0,0,0,0,2,1891277
2015,NJ,8000,8500,270,3,8,2,0,0,0,1,8867949
2015,NM,6000,6000,290,5,31,0,0,8,1,2,2089291
2015,NY,45000,45000,4000,9,25,2,1,1,0,6,19654666
2015,NC,22000,22000,2200,10,10,3,1,0,5,3,10031646
2015,ND,230000,275000,35000,13,11,2,2,2,4,2,754066
2015,OH,19000,19000,2400,13,36,9,2,7,15,2,11617527
2015,OK,5000,10000,650,7,3,5,0,0,1,3,3909500
2015,OR,100000,114000,8500,8,16,1,2,2,2,2,4015792
2015,PA,22000,23000,2500,11,32,4,1,0,1,1,12784826
2015,SC,10000,17500,2200,13,14,3,0,2,6,0,4891938
2015,SD,194000,205000,9000,4,17,3,2,7,2,4,853988
2015,TN,8500,10000,1100,11,44,28,0,5,7,4,6591170
2015,TX,125000,250000,25000,10,21,9,3,5,2,8,27470056
2015,UT,28000,28000,1900,7,76,9,6,0,4,0,2981835
2015,VT,6500,6500,940,15,57,17,1,1,0,16,625216
2015,VA,7500,7500,750,10,26,17,0,0,6,10,8361808
2015,WA,87000,89000,6500,7,7,0,0,0,3,2,7163657
2015,WV,7000,7000,610,9,19,5,1,3,8,1,1842050
2015,WI,48000,48000,6500,14,49,16,3,22,7,21,5760940
2015,WY,24000,25000,1300,5,45,3,7,11,11,4,585613
2016,AL,7000,7000,610,9,12,10,0,2,7,3,4863525
2016,AZ,29000,31000,6500,21,99,16,2,7,4,3,6941072
2016,AR,28000,28000,2500,9,21,5,0,1,1,3,2989918
2016,CA,770000,1330000,205000,15,42,14,8,9,10,4,39167117
2016,CO,30000,30000,4500,15,32,1,0,3,13,0,5539215
2016,CT,3100,3100,240,8,15,7,1,1,6,3,3578141
2016,FL,255000,300000,41000,14,31,27,8,17,14,7,20613477
2016,GA,96000,112000,11000,10,44,9,4,8,4,3,10301890
2016,HI,13500,13500,970,7,40,41,0,0,0,0,1427559
2016,ID,121000,143000,15500,11,32,1,5,0,4,3,1682380
2016,IL,9000,9000,720,8,28,12,1,6,4,5,12820527
2016,IN,7500,7500,1200,16,28,10,0,1,1,4,6634304
2016,IA,54000,54000,4700,9,19,10,9,9,11,6,3131371
2016,KS,5000,5000,1300,26,29,8,0,3,5,1,2910844
2016,KY,7500,7500,950,13,48,22,3,3,10,6,4438182
2016,LA,48000,57000,2000,4,3,1,1,0,1,1,4678135
2016,ME,3500,3500,280,8,11,1,0,0,6,0,1331317
2016,MD,7500,9500,500,5,24,8,5,5,6,1,6003323
2016,MA,8000,8000,740,9,6,3,0,0,1,4,6823608
2016,MI,101000,101000,12500,12,24,2,0,3,4,1,9950571
2016,MN,113000,114000,13500,12,28,8,3,18,5,9,5522744
2016,MS,17500,30000,2400,8,22,6,0,0,2,3,2987938
2016,MO,9000,9000,590,7,16,13,0,0,2,1,6087135
2016,MT,124000,124000,16000,13,59,39,33,14,33,33,1040859
2016,NE,37000,37000,4300,12,11,1,0,1,0,2,1905616
2016,NJ,12000,12000,340,3,29,11,0,2,3,9,8870827
2016,NM,7000,7000,1600,23,46,0,7,0,1,0,2091630
2016,NY,48000,49000,9000,18,28,2,4,13,2,2,19633428
2016,NC,25000,25000,5500,22,24,8,2,0,13,1,10154788
2016,ND,385000,390000,44000,11,24,8,2,0,3,2,754434
2016,OH,19500,19500,2100,11,42,18,1,4,11,11,11634370
2016,OK,3100,44000,2700,6,5,1,0,0,0,1,3926331
2016,OR,98000,124000,9500,8,26,3,13,3,3,1,4089976
2016,PA,21000,21000,3100,15,19,3,1,3,5,3,12782275
2016,SC,12000,17000,1300,8,29,27,23,25,26,2,4957968
2016,SD,146000,146000,11000,8,49,5,0,6,1,0,862996
2016,TN,9000,9000,840,9,20,22,0,1,2,3,6646010
2016,TX,136000,310000,39000,13,33,18,3,4,3,1,27914410
2016,UT,30000,30000,1600,5,26,0,0,1,1,0,3041868
2016,VT,6500,6500,260,4,45,41,41,41,0,0,623657
2016,VA,7000,7000,730,10,31,20,2,0,2,5,8410106
2016,WA,65000,97000,9000,9,21,5,4,9,5,0,7294771
2016,WV,7500,7500,1000,13,24,2,1,1,4,3,1831023
2016,WI,59000,59000,7500,13,69,12,10,11,11,46,5772628
2016,WY,25000,27000,2200,8,32,2,3,5,1,0,584215
2017,AL,7500,7500,990,13,22,10,9,10,2,5,4874486
2017,AZ,27000,30000,6500,22,62,4,2,2,4,0,7044008
2017,AR,25000,25000,7500,30,38,29,27,31,24,0,3001345
2017,CA,680000,1200000,155000,13,48,14,7,17,17,6,39358497
2017,CO,34000,34000,7000,21,30,1,0,20,16,5,5611885
2017,CT,4000,4000,330,8,36,3,0,1,2,2,3573297
2017,FL,180000,240000,50000,21,41,17,8,10,8,26,20963613
2017,GA,125000,145000,21000,14,57,15,12,15,4,5,10410330
2017,HI,15000,15000,130,1,57,66,0,0,0,0,1424393
2017,ID,113000,164000,9000,5,34,17,18,15,2,0,1717715
2017,IL,13500,13500,1800,13,29,10,1,8,5,5,12778828
2017,IN,11500,11500,1700,15,24,6,2,1,4,8,6658078
2017,IA,45000,45000,6500,14,61,26,12,33,18,6,3141550
2017,KS,6500,6500,830,13,18,8,3,9,1,10,2908718
2017,KY,7500,7500,870,12,54,24,1,7,6,19,4452268
2017,LA,58000,60000,2700,5,32,27,0,1,2,10,4670560
2017,ME,5500,6000,60,1,25,6,0,0,1,0,1334612
2017,MD,8000,10500,1300,12,8,3,0,1,2,8,6023868
2017,MA,6000,6000,1100,18,13,1,7,3,2,0,6859789
2017,MI,88000,88000,11500,13,54,14,5,24,2,2,9973114
2017,MN,98000,98000,7000,7,63,4,4,40,7,3,5566230
2017,MS,14000,22000,3400,15,19,6,1,2,2,4,2988510
2017,MO,9500,9500,820,9,17,14,1,0,4,2,6106670
