State,colonies,Maximum_colonies1,Lost_colonies,Percent_lost2,Added_colonies,Renov_colonies3,Percent_renov4,Year,Qtr,Varroa_mites,Other_parasites,Diseases,Pestticides,Other3,Unknown,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2010
AL,7000,7000,1800,26,2800,250,4,2015,Q1,10,5.4,0,2.2,9.1,9.4,4852347,4863525,4874486,4887681,4903185,4780125
AZ,35000,35000,4600,13,3400,2100,6,2015,Q1,26.9,20.5,0.1,0,1.8,3.1,6829676,6941072,7044008,7158024,7278717,6392288
AR,13000,14000,1500,11,1200,90,1,2015,Q1,17.6,11.4,1.5,3.4,1,1,2978048,2989918,3001345,3009733,3017804,2916031
CA,1440000,1690000,255000,15,250000,124000,7,2015,Q1,24.7,7.2,3,7.5,6.5,2.8,38918045,39167117,39358497,39461588,39512223,37254519
CO,3500,12500,1500,12,200,140,1,2015,Q1,14.6,0.9,1.8,0.6,2.6,5.9,5450623,5539215,5611885,5691287,5758736,5029319
CT,3900,3900,870,22,290,0,0,2015,Q1,2.5,1.4,0,0,21.2,2.4,3587122,3578141,3573297,3571520,3565287,3574147
FL,305000,315000,42000,13,54000,25000,8,2015,Q1,22.3,13.5,0.8,8.9,5.1,4.4,20209042,20613477,20963613,21244317,21477737,18804564
GA,104000,105000,14500,14,47000,9500,9,2015,Q1,6.2,4.9,3.3,2.6,4.8,10.5,10178447,10301890,10410330,10511131,10617423,9688729
HI,10500,10500,380,4,3400,760,7,2015,Q1,38.8,37.7,1.6,0,2,0,1422052,1427559,1424393,1420593,1415872,1360307
ID,81000,88000,3700,4,2600,8000,9,2015,Q1,39.8,6.7,12.5,4.8,8.9,4.9,1651059,1682380,1717715,1750536,1787065,1567657
IL,6000,10500,4200,40,2300,390,4,2015,Q1,12.3,6.9,0.7,0.4,12.6,11.6,12858913,12820527,12778828,12723071,12671821,12831572
IN,9000,9500,2100,22,490,120,1,2015,Q1,20.7,0.3,0.2,0.3,22.3,11.7,6608422,6634304,6658078,6695497,6732219,6484051
IA,12500,17500,3100,18,1700,270,2,2015,Q1,26,0.7,4.6,3.4,18,3.4,3120960,3131371,3141550,3148618,3155070,3046871
KS,4600,7000,1600,23,450,70,1,2015,Q1,32.7,1.3,1.1,14.2,9.5,3.4,2909011,2910844,2908718,2911359,2913314,2853123
KY,7500,10500,4100,39,250,0,0,2015,Q1,10.8,10.7,2.5,2.5,22.7,12.9,4425976,4438182,4452268,4461153,4467673,4339333
LA,51000,51000,8000,16,3100,6500,13,2015,Q1,17.2,4.7,4.3,1.7,3.1,2.1,4664628,4678135,4670560,4659690,4648794,4533487
ME,3100,6500,380,6,20,0,0,2015,Q1,4.4,0.1,0,0,7.5,1.9,1328262,1331317,1334612,1339057,1344212,1328358
MD,7500,10000,4100,41,1600,870,9,2015,Q1,10.1,1.8,0.4,0,24.2,12.4,5985562,6003323,6023868,6035802,6045680,5773794
MA,2900,4600,1000,22,260,120,3,2015,Q1,23.5,3.5,2.1,2.8,7.6,4.7,6794228,6823608,6859789,6882635,6892503,6547785
MI,16500,60000,11500,19,7500,2400,4,2015,Q1,14.3,3.1,1.1,1.6,8.3,4.6,9931715,9950571,9973114,9984072,9986857,9884116
MN,28000,74000,3700,5,690,530,1,2015,Q1,1.4,0.1,0,0.1,1.6,2.1,5482032,5522744,5566230,5606249,5639632,5303927
MS,34000,76000,8500,11,22000,7500,10,2015,Q1,9.4,8.2,0.1,2.1,1.2,1.1,2988471,2987938,2988510,2981020,2976149,2968130
MO,12000,13000,2000,15,220,910,7,2015,Q1,13.1,6,2.2,4.2,11.8,6.3,6071732,6087135,6106670,6121623,6137428,5988950
MT,8500,36000,2200,6,1400,1100,3,2015,Q1,8.7,0.5,0.6,0.8,2.3,7.9,1030475,1040859,1052482,1060665,1068778,989407
NE,10000,31000,2600,8,120,310,1,2015,Q1,5.9,0.1,0.1,0.5,0.3,3,1891277,1905616,1915947,1925614,1934408,1826305
NJ,6000,9000,1100,12,570,1600,18,2015,Q1,40.1,13.2,30.4,11.1,19.5,16.7,8867949,8870827,8885525,8886025,8882190,8791978
NM,7000,7000,690,10,190,600,9,2015,Q1,17.1,0.1,0,0.2,1.3,0.4,2089291,2091630,2091784,2092741,2096829,2059199
NY,27000,30000,6500,22,430,950,3,2015,Q1,7.6,2.6,0.5,4.4,12.4,8.3,19654666,19633428,19589572,19530351,19453561,19378144
NC,24000,26000,7000,27,6000,690,3,2015,Q1,35.5,2.3,0.1,22.9,6.2,12.2,10031646,10154788,10268233,10381615,10488084,9535751
ND,57000,120000,620,1,1800,530,0,2015,Q1,1.7,1.7,0,0,2.5,0.1,754066,754434,754942,758080,762062,672576
OH,18000,22000,10500,48,5000,3300,15,2015,Q1,10.7,1.6,1,3,17.8,3.1,11617527,11634370,11659650,11676341,11689100,11536751
OK,9500,26000,6000,23,2600,260,1,2015,Q1,14.5,10.1,0.5,0,2.1,2.9,3909500,3926331,3931316,3940235,3956971,3751582
OR,77000,87000,6500,8,4300,2400,3,2015,Q1,20.2,2,0.4,0.6,1.6,1.1,4015792,4089976,4143625,4181886,4217737,3831079
PA,14000,21000,6500,31,360,0,0,2015,Q1,28.1,6.3,1.9,1.9,17.8,6.3,12784826,12782275,12787641,12800922,12801989,12702868
SC,17000,17500,2700,15,2700,1400,8,2015,Q1,10.5,2.3,0.2,0.3,3.6,2.9,4891938,4957968,5021268,5084156,5148714,4625366
SD,50000,97000,4600,5,8500,2800,3,2015,Q1,1.2,0.9,0.3,0.5,1.2,1.8,853988,862996,872868,878698,884659,814198
TN,9500,9500,2000,21,1000,190,2,2015,Q1,22.2,17.1,0,0,13,4.4,6591170,6646010,6708799,6771631,6829174,6346276
TX,191000,250000,26000,10,82000,51000,20,2015,Q1,21.5,12.2,5,11.1,2.3,6.2,27470056,27914410,28295273,28628666,28995881,25146091
UT,6000,24000,3300,14,2500,290,1,2015,Q1,13.6,0.9,0.1,4.4,3,0.5,2981835,3041868,3101042,3153550,3205958,2763891
VT,5500,5500,700,13,1200,20,0,2015,Q1,2.3,5.6,0,0,5.8,4.9,625216,623657,624344,624358,623989,625737
VA,8000,9000,2500,28,800,460,5,2015,Q1,19,9.4,2.3,0,9.8,11.9,8361808,8410106,8463587,8501286,8535519,8001049
WA,52000,105000,14000,13,13500,9000,9,2015,Q1,21.5,0.5,0.3,3.6,6,1.1,7163657,7294771,7423362,7523869,7614893,6724540
WV,4700,6000,1800,30,570,60,1,2015,Q1,18,7.3,2.2,2.1,14.6,6.1,1842050,1831023,1817004,1804291,1792147,1853018
WI,16500,29000,8000,28,3100,2500,9,2015,Q1,18.8,1.6,2.7,8.5,8.3,5.8,5760940,5772628,5790186,5807406,5822434,5687285
WY,5500,12000,2000,17,2000,1400,12,2015,Q1,0.9,0,0,0,0.7,0,585613,584215,578931,577601,578759,563775
AL,7500,7500,860,12,1900,680,9,2015,Q2,16.7,42.5,0,2.3,3.2,4.1,4852347,4863525,4874486,4887681,4903185,4780125
AZ,33000,33000,5500,17,19500,7000,21,2015,Q2,8.4,32.1,0.5,20.1,28.2,0.3,6829676,6941072,7044008,7158024,7278717,6392288
AR,13500,13500,1900,14,11500,5500,41,2015,Q2,65.9,63.4,7,22.6,27.4,9.3,2978048,2989918,3001345,3009733,3017804,2916031
CA,1040000,1050000,104000,10,170000,285000,27,2015,Q2,50.9,21.5,7.8,23,14.2,3.1,38918045,39167117,39358497,39461588,39512223,37254519
CO,12000,25000,1900,8,6000,3500,14,2015,Q2,38.6,1.8,4.6,2.8,3.4,6.6,5450623,5539215,5611885,5691287,5758736,5029319
CT,3000,3000,80,3,1100,150,5,2015,Q2,10.2,0.4,1.9,0.8,1,0.7,3587122,3578141,3573297,3571520,3565287,3574147
FL,210000,215000,35000,16,44000,24000,11,2015,Q2,44.2,26.4,2.7,17.7,13.6,5.4,20209042,20613477,20963613,21244317,21477737,18804564
GA,114000,124000,23000,19,25000,19000,15,2015,Q2,52.8,17.5,2.9,28.7,11.5,4.1,10178447,10301890,10410330,10511131,10617423,9688729
HI,13500,13500,120,1,1100,1200,9,2015,Q2,60.1,61,0.3,0.1,3.2,0.1,1422052,1427559,1424393,1420593,1415872,1360307
ID,62000,72000,6500,9,16500,10500,15,2015,Q2,25.5,6.7,6.5,6,13.7,0.3,1651059,1682380,1717715,1750536,1787065,1567657
IL,9500,9500,1300,14,6000,1500,16,2015,Q2,10.3,3.7,0.2,2.5,2.3,2.4,12858913,12820527,12778828,12723071,12671821,12831572
IN,8000,12500,1300,10,4900,4300,34,2015,Q2,15.4,1.8,7,0.5,4.4,2,6608422,6634304,6658078,6695497,6732219,6484051
IA,12500,24000,1400,6,6500,3100,13,2015,Q2,21.5,5.1,2.9,7.8,2.7,1.9,3120960,3131371,3141550,3148618,3155070,3046871
KS,6000,7000,670,10,2800,420,6,2015,Q2,14.4,2.4,0.9,0.1,3.5,4.9,2909011,2910844,2908718,2911359,2913314,2853123
KY,7500,8500,980,12,3600,1500,18,2015,Q2,21.7,18.2,5.3,1.8,9.5,2.9,4425976,4438182,4452268,4461153,4467673,4339333
LA,44000,45000,1800,4,6500,8000,18,2015,Q2,36.4,3.7,0.2,1.1,5,0.5,4664628,4678135,4670560,4659690,4648794,4533487
ME,4600,30000,3200,11,3500,700,2,2015,Q2,72.1,34.5,0.1,34.5,0.5,0.1,1328262,1331317,1334612,1339057,1344212,1328358
MD,8000,11000,370,3,2600,710,7,2015,Q2,4.9,1.3,0.2,2.5,1.6,1.5,5985562,6003323,6023868,6035802,6045680,5773794
MA,4100,14000,320,2,940,510,4,2015,Q2,66.8,61.7,0.2,61.8,4.4,3.1,6794228,6823608,6859789,6882635,6892503,6547785
MI,58000,88000,9500,11,13500,5500,6,2015,Q2,26.9,13,0.6,9.1,16.4,3.1,9931715,9950571,9973114,9984072,9986857,9884116
MN,71000,125000,12500,10,20000,21000,17,2015,Q2,25.4,6.2,1.4,16.5,10.1,9.3,5482032,5522744,5566230,5606249,5639632,5303927
