,Year,State,Percent_lost2
0,2015,AL,8
1,2015,AZ,31
2,2015,AR,9
3,2015,CA,12
4,2015,CO,10
5,2015,CT,7
6,2015,FL,14
7,2015,GA,15
8,2015,HI,5
9,2015,ID,15
10,2015,IL,5
11,2015,IN,10
12,2015,IA,12
13,2015,KS,40
14,2015,KY,13
15,2015,LA,7
16,2015,ME,1
17,2015,MD,8
18,2015,MA,6
19,2015,MI,12
20,2015,MN,10
21,2015,MS,4
22,2015,MO,5
23,2015,MT,8
24,2015,NE,10
25,2015,NJ,3
26,2015,NM,5
27,2015,NY,9
28,2015,NC,10
29,2015,ND,13
30,2015,OH,13
31,2015,OK,7
32,2015,OR,8
33,2015,PA,11
34,2015,SC,13
35,2015,SD,4
36,2015,TN,11
37,2015,TX,10
38,2015,UT,7
39,2015,VT,15
40,2015,VA,10
41,2015,WA,7
42,2015,WV,9
43,2015,WI,14
44,2015,WY,5
45,2016,AL,9
46,2016,AZ,21
47,2016,AR,9
48,2016,CA,15
49,2016,CO,15
50,2016,CT,8
51,2016,FL,14
52,2016,GA,10
53,2016,HI,7
54,2016,ID,11
55,2016,IL,8
56,2016,IN,16
57,2016,IA,9
58,2016,KS,26
59,2016,KY,13
60,2016,LA,4
61,2016,ME,8
62,2016,MD,5
63,2016,MA,9
64,2016,MI,12
65,2016,MN,12
66,2016,MS,8
67,2016,MO,7
68,2016,MT,13
69,2016,NE,12
70,2016,NJ,3
71,2016,NM,23
72,2016,NY,18
73,2016,NC,22
74,2016,ND,11
75,2016,OH,11
76,2016,OK,6
77,2016,OR,8
78,2016,PA,15
79,2016,SC,8
80,2016,SD,8
81,2016,TN,9
82,2016,TX,13
83,2016,UT,5
84,2016,VT,4
85,2016,VA,10
86,2016,WA,9
87,2016,WV,13
88,2016,WI,13
89,2016,WY,8
90,2017,AL,13
91,2017,AZ,22
92,2017,AR,30
93,2017,CA,13
94,2017,CO,21
95,2017,CT,8
96,2017,FL,21
97,2017,GA,14
98,2017,HI,1
99,2017,ID,5
100,2017,IL,13
101,2017,IN,15
102,2017,IA,14
103,2017,KS,13
104,2017,KY,12
105,2017,LA,5
106,2017,ME,1
107,2017,MD,12
108,2017,MA,18
109,2017,MI,13
110,2017,MN,7
111,2017,MS,15
112,2017,MO,9
113,2017,MT,11
114,2017,NE,18
115,2017,NJ,8
116,2017,NM,24
117,2017,NY,8
118,2017,NC,22
119,2017,ND,6
120,2017,OH,15
121,2017,OK,0
122,2017,OR,11
123,2017,PA,23
124,2017,SC,13
125,2017,SD,6
126,2017,TN,12
127,2017,TX,7
128,2017,UT,7
129,2017,VT,7
130,2017,VA,12
131,2017,WA,6
132,2017,WV,14
133,2017,WI,15
134,2017,WY,12
135,2018,AL,13
136,2018,AZ,19
137,2018,AR,19
138,2018,CA,14
139,2018,CO,12
140,2018,CT,6
141,2018,FL,15
142,2018,GA,12
143,2018,HI,6
144,2018,ID,9
145,2018,IL,12
146,2018,IN,37
147,2018,IA,20
148,2018,KS,18
149,2018,KY,29
150,2018,LA,5
151,2018,ME,12
152,2018,MD,8
153,2018,MA,13
154,2018,MI,8
155,2018,MN,13
156,2018,MS,8
157,2018,MO,9
158,2018,MT,5
159,2018,NE,11
160,2018,NJ,8
161,2018,NM,38
162,2018,NY,8
163,2018,NC,17
164,2018,ND,7
165,2018,OH,14
166,2018,OK,4
167,2018,OR,13
168,2018,PA,19
169,2018,SC,12
170,2018,SD,15
171,2018,TN,22
172,2018,TX,7
173,2018,UT,13
174,2018,VT,3
175,2018,VA,16
176,2018,WA,14
177,2018,WV,17
178,2018,WI,18
179,2018,WY,8
180,2019,AL,11
181,2019,AZ,19
182,2019,AR,8
183,2019,CA,10
184,2019,CO,30
185,2019,CT,8
186,2019,FL,10
187,2019,GA,15
188,2019,HI,8
189,2019,ID,8
190,2019,IL,13
191,2019,IN,7
192,2019,IA,23
193,2019,KS,13
194,2019,KY,5
195,2019,LA,5
196,2019,ME,7
197,2019,MD,14
198,2019,MA,24
199,2019,MI,8
200,2019,MN,16
201,2019,MS,12
202,2019,MO,15
203,2019,MT,9
204,2019,NE,7
205,2019,NJ,1
206,2019,NM,1
207,2019,NY,15
208,2019,NC,18
209,2019,ND,6
210,2019,OH,14
211,2019,OK,7
212,2019,OR,12
213,2019,PA,18
214,2019,SC,14
215,2019,SD,4
216,2019,TN,12
217,2019,TX,7
218,2019,UT,14
219,2019,VT,3
220,2019,VA,15
221,2019,WA,13
222,2019,WV,19
223,2019,WI,18
224,2019,WY,12
